"full closures Saturdays & Sundays, 11/7 thru 11/22 7am-3pm. Alternate route: Metropolitan Ave",full closures alternate route,GrandStBridge,,07-11-2015 to 22-11-2015,7am-3pm
"lane closures on Wed 11/4, 10am-3pm. One lane will remain open at all times.",lane closures lane remain open,GreenpointAveBridge,,04-11-2015,10am-3pm
North & South Tube PM lane closures this week; South Tube full closure 11/7 per,north south tube lane closures south tube full closure,BatteryParkUnderpass,,07-11-2015,empty
"REMINDER: full bridge closure 11/3 thru 11/7, Tues-Fri 12:01am-5am, Sat 1am-6am. Detour info:",reminder full bridge closure detour,MetropolitanAveBridge,,03-11-2015 to 07-11-2015,12:01am-5am
overnight detours for Mn-bound traffic cont tonight 10/30. No closures 10/31 & 11/1. Weekday closures cont 11/2.,overnight detours closures closures,"BrooklynBridge,BkBridge",,01-11-2015 and 02-11-2015 and 30-10-2015 and 31-10-2015,empty
REMINDER: stairway to the Promenade closed 10/31 from 1am-5am.,reminder closed,"BrooklynBridge,WashingtonSt,BkBridge",,31-10-2015,1am-5am
"one lane closed either direction 11/2 thru 2/26, 2 or 3 nights per week. See below for details:",lane closed,UnionportBridge,,02-11-2015 to 26-02-2015,empty
"Brooklyn-bound lane closures one upper & one lower lane, 11/2 thru 12/21 twice a week, 12:01am-5am",lane closures upper lower,ManhattanBridge,,02-11-2015 to 21-12-2015,12:01am-5am
"full bridge closures 11/3 thru 11/7, Tues-Fri 12:01am-5am & Sat 1am-6am. Detour info below:",full bridge closures detour,MetropolitanAveBridge,,03-11-2015 to 07-11-2015,12:01am-5am
early morning lane closures between & continuing thru 12/17. See below for details:,lane closures continuing,"BQE,AtlanticAve,CadmanPlaza",,17-12-2015,empty
"REVISED: South Tube only single lane & full closures, 10/26-10/31. See below for details:",south tube lane full,BatteryParkUnderpass,,26-10-2015 to 31-10-2015,empty
"Nightly Promenade Closures:11/3,11/4,11/10,11/11 9PM-6AM. Peds & cyclists may use",,"BrooklynBridge,ManhattanBridge",,03-11-2015 and 04-11-2015 and 10-11-2015 and 11-11-2015,9PM-6AM
"Broadway (US Route 9) lane closures in both directions under on 10/26 & 10/28, 11pm-5am",broadway route lane closures both,HenryHudsonParkway,,26-10-2015 and 28-10-2015,11pm-5am
Single lane closures continuing 10/26 on & Woodhaven Blvd Service Rds. See below:,lane closures continuing,"AtlanticAve,WoodhavenBlvd",,26-10-2015,empty
Please be advised: will be closed nightly from 10/22 thru 10/24 to all traffic. map:,closed,"MetropolitanAveBridge,Detour",,22-10-2015 to 24-10-2015,empty
